"Query","ID","Title","Type","Access","URL","Owner"
"circuito type:""Feature Service""","11b76dc9d24f4d449625be906ebcceff","Sistema_transmision_lineas_construidas","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/Sistema_transmision_lineas_construidas/FeatureServer","admingis"
"PIEC type:""Feature Service""","2eea3962b4694b99a51c01bdfc83889e","SIG_PIEC_1","Feature Service","public","https://services2.arcgis.com/FQ96si1PnySkA0WY/arcgis/rest/services/SIG_PIEC_1/FeatureServer","Usuario6_UPME"
"circuito type:""Feature Service""","4bc7601de5d449c39c5f923d919c14f1","Convocatorias 2025_WFL1","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Hosted/Convocatorias_2025_WFL1/FeatureServer","Usuario1_UPME"
"circuito type:""Feature Service""","66aafe8cf2584dd1ad770ae101d914af","coexistencia","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Capas_Coexistencia/coexistencia/FeatureServer","admingis"
"PIEC type:""Map Service""","8af270ebbb85438f9aff316713016047","plan_indicativo_expansion_cobertura","Map Service","public","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/plan_indicativo_expansion_cobertura/MapServer","admingis"
"PIEC type:""Feature Service""","8e99aa373c774b3396c2efd56ef53f41","plan_indicativo_expansion_cobertura","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/plan_indicativo_expansion_cobertura/FeatureServer","admingis"
"circuito type:""Feature Service""","9330315d24d543ae8b03ff875eafb8ce","sistema_transmision_subestaciones_construidas","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/sistema_transmision_subestaciones_construidas/FeatureServer","admingis"
"circuito type:""Feature Service""","faa4a0b9f08b443ea7f340a5c5ff3b30","sistema_transmision_apoyo_construido","Feature Service","public","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/sistema_transmision_apoyo_construido/FeatureServer","admingis"
