"Service","LayerID","Layer","Geometry","Fields","Aliases","URL"
"Capas_Coexistencia/coexistencia","6","Líneas de transmisión de Energía Eléctrica","esriGeometryPolyline","OBJECTID,fecha_operacion,codigo_conv,nombre_conv,nombre_sub_ini,nombre_sub_fin,nombre_lin_inter,id_circuito,nombre_circuito,nombre_trazado,sistema,estado_operacion,nivel_tension_circuito_kv,tipo_circuito,cod_uc,circuito_vestido,longitud_tramo_km,tipo_conductor,cable_guarda,num_conduc_haz,capacidad,resistencia,reactancia,susceptancia,servidumbre,nombre_ejecutor,nombre_propietario,observacion,tiene_instrumento,tipo_instrumento_ma,autoridad_ambiental,expediente_au,expediente_upme","OBJECTID,Fecha de operación,Código convocatoria UPME,Nombre convocatoria,Nombre de subestación inicio,Nombre de subestación fin,Nombre de linea que se Intercepta,ID de circuito,Nombre de circuito,Nombre de trazado,Sistema transmisión,Estado operación,Nivel de tensión del circuito (kv),Tipo de circuito,Código UC,Circuito vestido,Longitud de tramo - km,Tipo de conductor,Cable guarda,Número conductor haz,Capacidad,Resistencia,Reactancia,Susceptancia,Servidumbre,Nombre de ejecutor,Nombre de propietario,Observación,¿Cuenta con Instrumento de Manejo Ambiental?,Tipo de Intrumento Manejo Ambiental,ANLA/CAR,Expediente autoridad ambiental,expediente_upme","https://geo.upme.gov.co/server/rest/services/Capas_Coexistencia/coexistencia/FeatureServer/6"
"Capas_Coexistencia/coexistencia","7","Subestaciones","esriGeometryPolygon","OBJECTID,departamento,municipio,nombre_ejecutor,nombre_propietario,fecha_operacion,codigo_conv,nombre_conv,sistema,estado_operacion,nombre_subestacion,tipo_subestacion,nivel_tension_circuito,configuracion,tiene_instrumento,tipo_instrumento_ma,autoridad_ambiental,observacion,expediente_au,expediente_upme","OBJECTID,Departamento,Municipio,Nombre ejecutor,Nombre propietario,Fecha operación,Codigo convocatoria Upme,Nombre Convocatoria,Sistema transmisión,Estado operación,Nombre de la subestación,Tipo de subestación,Nivel de tensión del circuito,Configuración,¿Cuenta con Instrumento de Manejo Ambiental?,Tipo de intrumento manejo ambiental,Autoridad ambiental,Observación,Expediente autoridad ambiental,expediente_upme","https://geo.upme.gov.co/server/rest/services/Capas_Coexistencia/coexistencia/FeatureServer/7"
"Capas_EnergiaElectrica/sistema_transmision_apoyo_construido","0","Sistema de transmisión: Apoyo construido","esriGeometryPoint","OBJECTID,cod_dpto,departamento,cod_mpio,municipio,fecha_reporte,id_organizacion,nombre_organizacion,vigencia,fecha_operacion,convenio_upme,nombre_convenio,id_circuito,sistema,id_apoyo,numero_apoyo,cod_uc,clase_apoyo,tipo_apoyo,estructura,altura_apoyo,cuerpos,resistencia,disp_nuevo_circuito,nombre_ejecutor,nombre_propietario,este,norte,altitud,observacion,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date","OBJECTID,Código departamento,Departamento,Código municipio,Municipio,Fecha del reporte,ID organización,Nombre organización,Vigencia,Fecha operación,Convenio UPME,Nombre del convenio,ID de circuito,Sistema,ID de apoyo,Número de apoyo,Código UC,Clase de apoyo,Tipo de apoyo,Estructura,Altura del apoyo,Cuerpos,Resistencia,Disp. nuevo circuito,Nombre ejecutor,Nombre propietario,Este,Norte,Altitud,Observación,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/sistema_transmision_apoyo_construido/FeatureServer/0"
"Capas_EnergiaElectrica/Sistema_transmision_lineas_construidas","17","Sistema de transmisión: Líneas construidas","esriGeometryPolyline","OBJECTID,fecha_reporte,id_organizacion,nombre_organizacion,vigencia,fecha_operacion,convenio_upme,nombre_conv,nombre_subestacion_inicio,nombre_subestacion_fin,id_circuito,nombre_circuito,nombre_trazado,sistema,id_tramo,tension,nivel_tension_circuito,tipo_circuito,cod_uc,circuito_vestido,longitud_tramo_km,tipo_conductor,cable_guarda,num_conduc_haz,capacidad,resistencia,reactancia,susceptancia,servidumbre,nombre_ejecutor,nombre_propietario,observacion,fuente,verificacion,fecha_verificacion,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date,Shape__Length","OBJECTID,Fecha del reporte,ID de organización,Nombre de organización,Vigencia,Fecha de operación,Convenio UPME,Nombre del convenio,Nombre de subestación inicio,Nombre de subestación fin,ID de circuito,Nombre de circuito,Nombre de trazado,Sistema,ID de tramo,Tensión (kV),Nivel de tensión del circuito,Tipo de circuito,Código UC,Circuito vestido,Longitud de tramo - km,Tipo de conductor,Cable guarda,Número conductor haz,Capacidad,Resistencia,Reactancia,Susceptancia,Servidumbre,Nombre de ejecutor,Nombre de propietario,Observación,Fuente,Verificación,Fecha de verificación,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date,Shape.STLength()","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/Sistema_transmision_lineas_construidas/FeatureServer/17"
"Capas_EnergiaElectrica/sistema_transmision_subestaciones_construidas","18","Sistema de transmisión: Subestaciones construidas","esriGeometryPoint","OBJECTID,cod_dpto,departamento,cod_mpio,municipio,id_organizacion,nombre_organizacion,nombre_ejecutor,nombre_propietario,vigencia,fecha_operacion,convenio_upme,nombre_convenio,sistema,nombre_subestacion,tipo_subestacion,tension,nivel_tension_circuito,configuracion,instrumentos_manejo,tipo_instrumento_manejo,este,norte,observacion,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date","OBJECTID,Código departamento,Departamento,Código municipio,Municipio,ID organización,Nombre organización,Nombre ejecutor,Nombre propietario,Vigencia,Fecha operación,Convenio UPME,Nombre del convenio,Sistema,Nombre de la subestación,Tipo de subestación,Tensión (kV),Nivel de tensión del circuito,Configuración,Instrumentos de manejo,Tipo de instrumento de manejo,Este,Norte,Observación,fecha_recepcion,created_user,created_date,last_edited_user,last_edited_date","https://geo.upme.gov.co/server/rest/services/Capas_EnergiaElectrica/sistema_transmision_subestaciones_construidas/FeatureServer/18"
